building,counts
421 E 26 ST,13
10 E 4 AV ST,13
118 W 57 ST,13
5 UNIVERSITY PL,13
42 BRDWAY,13
569 LEXINGTON AV,13
243 W 42ND ST,13
35 BRDWAY,13
78 FRONT ST,13
461 8 AV,12
1930 BRDWAY,12
800 3 AV,12
371 7 AV,12
915 BRDWAY,12
356 W 34 ST,12
321 W ST,12
155 E 44 ST,12
341 PARK AV,12
1715 BRDWAY,12
60 CENTRE ST,12
119 CHRISTOPHER ST,12
25 CENTRAL PARK W,12
129 W 2 AV ST,12
253 W 72ND ST,12
250 W 90 ST,12
160 CENTRAL PARK SOUT,12
35 PERRY ST,12
350 W 42 ST,12
144 W 54 ST,12
16 W 3 AV ST,12
109 AV AV,12
1 7 AV,12
33 E 1 AV ST,12
442 AV AV,12
2116 FIRST AV,12
500 E 77 ST,12
200 PARK AV,12
440 W 42 ST,12
129 WASHINGTON ST,12
46 W 34 ST,12
550 MADISON AV,12
150 W ST,12
1 PENN PLAZA,12
128 PEARL ST,12
15 STUYVESANT OVAL,12
378 PARK AV,12
160 WATER ST,12
53 W 35 ST,11
273 MADISON AV,11
809 BRDWAY,11
1457 BWAY,11
2288 BWAY,11
47 CHURCH ST,11
90 WASHINGTON ST,11
570 AV AV,11
267 W 47 ST,11
517 E 117 ST,11
30 RECTOR ST,11
101 W 54 ST,11
881 7 AV,11
611 5 AV,11
18 9 AV,11
46 BOWERY,11
225 E 3 AV ST,11
45 E 1 AV ST,11
5 BWAY,11
600 FIFTH AV,11
522 5 AV,11
375 PEARL ST,11
263 7 AV,11
15 E 6 AV ST,11
257 W 3 AV ST,11
871 SEVENTH AV,11
5008 BRDWAY,11
606 AV AV,11
182 HUDSON ST,11
540 PARK AV,11
1331 BWAY,11
979 3 AV,11
225 BWAY,11
705 5 AV,11
10 E 3 AV ST,11
29 BRDWAY,11
2 WALL ST,11
397 WATER ST,11
1424 BRDWAY,11
82 RUTGERS SLIP,11
309 E 48 ST,11
1 W 8 AV ST,11
521 AV AV,11
292 MADISON AV,11
4 SOUTH PINEHURST AV,11
1 W 1 AV ST,11
50 LAFAYETTE ST,11
2209 BWAY,11
4 HANOVER SQUARE,11
24 W 63 ST,11
101 PARK AV,11
505 AV AV,11
97 PARK AV,11
567 W BRDWAY,11
217 BRDWAY,10
28 W 23 ST,10
420 W 51 ST,10
115 E 57 ST,10
67 WALL ST,10
43 W 3 AV ST,10
240 W 98 ST,10
415 PARK AV SOUTH,10
507 W 28 ST,10
250 W 4 AV ST,10
131 CENTRAL PARK W,10
560 PARK AV,10
1 PARK ROW,10
10 BARCLAY ST,10
362 9 AV,10
421 HUDSON ST,10
520 1 AV AV,10
55 BRD ST,10
15 PLATT ST,10
200 CENTRAL PK SO,10
53 5 AV,10
121 E 67 ST,10
60 E 8 ST,10
400 AV AV,10
194 ORCHARD ST,10
600 WASHINGTON ST,10
650 AV AV,10
210 E 39 ST,10
563 FIFTH AV,10
379 MADISON AV,10
26 PINE ST,10
443 GREENWICH ST,10
117 W 79 ST,10
1031 6 AV,10
250 MADISON AV,10
100 WILLIAM ST,10
1855 BRDWAY,10
450 W 33 ST,10
647 3 AV,10
103 JOHN ST,10
130 CEDAR ST,10
33 THOMAS ST,10
20 E 16 ST,10
2 W 5 AV ST,10
55 BRDWAY,10
715 12 AV,10
50 BRDWAY,10
39 W 3 ST,10
112 W 3 AV ST,10
1045 SIXTH AV,10
1332 BRDWAY,10
100 GOLD ST,10
511 LEXINGTON AV,10
4 E 57 ST,10
53 E 2 AV ST,10
330 W 3 AV ST,10
125 W 31 ST,10
79 MADISON AV,10
1960 BRDWAY,10
88 TRINITY PL,10
291 BRDWAY,10
469 W ST,10
29 W 3 AV ST,10
59 WALL ST,10
29 E 2 AV ST,10
1 CEDAR ST,10
811 10 AV,10
222 E 67 ST,10
18 E 4 AV ST,10
1270 BRDWAY,10
1404 BWAY,10
145 E 5 AV ST,10
19 E 4 AV ST,10
520 LENOX AV,10
1652 BRDWAY,10
60 W 23 ST,10
301 AV AV,10
436 W 49 ST,10
39 W 32 ST,10
11 W 32 ST,10
59 THOMPSON ST,10
214 E 42 ST,10
780 THIRD AV,10
979 THIRD AV,10
56 LEONARD ST,10
2 W 4 AV ST,10
40 W 2 AV ST,10
530 GRAND ST,10
35 W 3 AV ST,10
674 MADISON AV,10
577 9 AV,10
163 VARICK ST,10
69 W 3 ST,10
65 E 55 ST,10
645 MADISON AV,10
647 E 14 ST,10
307 W 79 ST,10
447 E 14 ST,10
1165 1 AV,10
31 E 5 AV ST,10
4 HANOVER SQ,10
860 WASHINGTON ST,10
24 UNION SQUARE E,10
520 MADISON AV,10
101 WATER ST,9
1115 BRDWAY,9
26 SPRUCE ST,9
161 WILLIAM ST,9
1601 BRDWAY,9
143 W 2 AV ST,9
415 MADISON AV,9
223 SPRING ST,9
20 W 37 ST,9
129 W 52 ST,9
4 SOUTH ST,9
180 RIVERSIDE BLVD,9
430 FIRST AV,9
93 PRINCE ST,9
2 RECTOR ST,9
60 PINE ST,9
388 BRDWAY,9
61 E 45 ST,9
224 W 3 AV ST,9
120 E END AV,9
