boro,door_number,street_address
1,1500,BRDWAY
1,1260,BRDWAY
1,1162,BRDWAY
1,2624,BRDWAY
1,5057,BRDWAY
1,434,BRDWAY
1,1424,BRDWAY
1,589,BRDWAY
1,57,BRDWAY
1,181,BRDWAY
1,3495,BRDWAY
1,2,BRDWAY
1,233,BRDWAY
1,365,BRDWAY
1,335,BRDWAY
1,273,BRDWAY
1,628,BRDWAY
1,149,BRDWAY
1,810,BRDWAY
1,1614,BRDWAY
1,1230,BRDWAY
1,1540,BRDWAY
1,3151,BRDWAY
1,1214,BRDWAY
1,4523,BRDWAY
1,1710,BRDWAY
1,2220,BRDWAY
1,495,BRDWAY
1,1459,BRDWAY
1,2231,BRDWAY
1,750,BRDWAY
1,3205,BRDWAY
1,4441,BRDWAY
1,1134,BRDWAY
1,1332,BRDWAY
1,416,BRDWAY
1,676,BRDWAY
1,4848,BRDWAY
1,1515,BRDWAY
1,4520,BRDWAY
1,1568,BRDWAY
1,4260,BRDWAY
1,1204,BRDWAY
1,414,BRDWAY
1,3020,BRDWAY
1,1205,BRDWAY
1,594,BRDWAY
1,3081,BRDWAY
1,280,BRDWAY
1,2680,BRDWAY
1,353,BRDWAY
1,1440,BRDWAY
1,2012,BRDWAY
1,654,BRDWAY
1,2140,BRDWAY
1,2350,BRDWAY
1,3097,BRDWAY
1,857,BRDWAY
1,3458,BRDWAY
1,915,BRDWAY
1,1158,BRDWAY
1,1375,BRDWAY
1,1215,BRDWAY
1,1155,BRDWAY
1,2093,BRDWAY
1,63,BRDWAY
1,4680,BRDWAY
1,456,BRDWAY
1,1851,BRDWAY
1,2255,BRDWAY
1,1435,BRDWAY
1,1641,BRDWAY
1,3495,BRDWAY
1,1333,BRDWAY
1,2112,BRDWAY
1,325,BRDWAY
1,3505,BRDWAY
1,2281,BRDWAY
1,108,BRDWAY
1,2700,BRDWAY
1,622,BRDWAY
1,180,BRDWAY
1,573,BRDWAY
1,1265,BRDWAY
1,355,BRDWAY
1,3427,BRDWAY
1,2001,BRDWAY
1,3105,BRDWAY
1,935,BRDWAY
1,3321,BRDWAY
