comp_disp_inspection_by,comp_disp_date,nyc_BIN,location
2374,2016-12-14,2013059,"40.8537180,-73.8823759"
2771,2016-12-14,2010809,"40.8385970,-73.8845100"
2771,2016-12-14,2010809,"40.8385970,-73.8845100"
2374,2016-12-14,2010809,"40.8385970,-73.8845100"
2374,2016-12-14,2010809,"40.8385970,-73.8845100"
2374,2016-12-14,2002759,"40.8334410,-73.9163820"
2771,2016-12-14,2002759,"40.8334410,-73.9163820"
2374,2016-12-14,2028627,"40.8389420,-73.8668530"
2773,2016-12-14,2028627,"40.8389420,-73.8668530"
2374,2016-12-14,2000039,"40.8069980,-73.9186610"
2773,2016-12-14,2000039,"40.8069980,-73.9186610"
2374,2016-12-14,2013229,"40.8448410,-73.8810740"
2246,2016-12-14,2013229,"40.8448410,-73.8810740"
2374,2016-12-14,2005676,"40.8260705,-73.8953762"
2727,2016-12-14,2005676,"40.8260705,-73.8953762"
2374,2016-12-14,2013059,"40.8537180,-73.8823759"
2727,2016-12-14,2013059,"40.8537180,-73.8823759"
2374,2016-12-14,2010809,"40.8385970,-73.8845100"
2374,2016-12-14,2010809,"40.8385970,-73.8845100"
2727,2016-12-14,2010809,"40.8385970,-73.8845100"
2727,2016-12-14,2010809,"40.8385970,-73.8845100"
2374,2016-12-14,2000039,"40.8069980,-73.9186610"
2246,2016-12-14,2000039,"40.8069980,-73.9186610"
2374,2016-12-14,2028627,"40.8389420,-73.8668530"
2246,2016-12-14,2028627,"40.8389420,-73.8668530"
2374,2016-12-14,2002115,"40.8329303,-73.9095871"
2727,2016-12-14,2002115,"40.8329303,-73.9095871"
2556,2016-12-14,2117112,"40.8061749,-73.9278870"
2556,2016-12-14,2014664,"40.8649426,-73.9024137"
2666,2016-12-14,2117112,"40.8061749,-73.9278870"
2374,2016-12-14,2096010,"40.8387348,-73.9047209"
2666,2016-12-14,2014664,"40.8649426,-73.9024137"
2679,2016-12-14,2015211,"40.8708200,-73.9051260"
2543,2016-12-14,1019782,"40.7391221,-73.9824903"
2543,2016-12-14,1019782,"40.7391221,-73.9824903"
2411,2016-12-14,1038770,
2411,2016-12-14,1038770,
2411,2016-12-14,1038779,"40.7521195,-73.9701798"
250,2016-12-14,1082883,"40.7305430,-73.9798520"
1795,2016-12-14,1064800,"40.8646970,-73.9252190"
2633,2016-12-14,1001134,"40.7070080,-74.0055919"
2780,2016-12-14,1001134,"40.7070080,-74.0055919"
2824,2016-12-14,1063337,"40.8380660,-73.9453020"
2824,2016-12-14,1060086,"40.8188040,-73.9396400"
2824,2016-12-14,1060086,"40.8188040,-73.9396400"
2741,2016-12-14,1053773,"40.8108680,-73.9424300"
2765,2016-12-14,1054487,"40.8047803,-73.9368580"
2556,2016-12-14,1054487,"40.8047803,-73.9368580"
2556,2016-12-14,1054487,"40.8047803,-73.9368580"
2801,2016-12-14,1002831,"40.7228053,-74.0112599"
2801,2016-12-14,1002831,"40.7227406,-74.0111976"
2801,2016-12-14,1002831,"40.7228053,-74.0112599"
2801,2016-12-14,1002831,"40.7227406,-74.0111976"
1244,2016-12-14,1083026,"40.7504102,-73.9928259"
2556,2016-12-14,1054487,"40.8047803,-73.9368580"
2574,2016-12-14,1007930,"40.7243310,-73.9962780"
2715,2016-12-14,1014476,"40.7543545,-73.9904196"
2762,2016-12-14,1041695,
1733,2016-12-14,1085950,
2715,2016-12-14,1053773,"40.8108680,-73.9424300"
2715,2016-12-14,1051436,"40.8019075,-73.9459850"
2408,2016-12-14,1010542,"40.7356530,-73.9996130"
2741,2016-12-14,1053773,"40.8108680,-73.9424300"
2218,2016-12-14,1077021,"40.7406180,-73.9809240"
2703,2016-12-14,1055064,"40.7999837,-73.9565476"
