boro,door_number,street_address
1,558,W 165 ST
1,622,W 165 ST
1,476,W 165 ST
1,627,W 165 ST
1,217,W 21 ST
1,235,W 21 ST
1,257,W 21 ST
1,133,W 21 ST
1,48,W 21 ST
1,313,W 21 ST
1,133,W 21 ST
1,155,W 21 ST
1,223,W 21 ST
1,541,W 21 ST
1,132,W 21 ST
1,501,W 21 ST
1,510,W 21 ST
1,249,W 21 ST
1,112,W 21 ST
1,453,W 21 ST
1,120,W 21 ST
1,306,W 21 ST
1,511,W 21 ST
1,467,W 21 ST
1,224,W 21 ST
1,226,W 21 ST
1,38,W 21 ST
1,327,W 21 ST
1,12,W 21 ST
1,16,W 21 ST
1,261,W 21 ST
1,550,W 21 ST
1,234,W 21 ST
1,29,W 21 ST
1,530,W 21 ST
1,551,W 21 ST
1,210,W 21 ST
1,55,W 21 ST
1,537,W 21 ST
1,429,W 21 ST
1,117,W 21 ST
1,312,W 21 ST
1,222,W 21 ST
1,19,W 21 ST
1,221,W 21 ST
1,31,W 21 ST
1,117,W 21 ST
1,136,W 21 ST
1,218,W 21 ST
1,53,W 21 ST
1,64,W 21 ST
1,473,W 21 ST
1,351,W 21 ST
1,119,W 21 ST
1,255,CENTER ST
1,300,E 51 ST
1,235,E 51 ST
1,400,E 51 ST
1,220,E 51 ST
1,455,E 51 ST
1,307,E 51 ST
1,332,E 51 ST
1,223,E 51 ST
1,212,E 51 ST
1,209,E 51 ST
1,238,E 51 ST
1,308,E 51 ST
1,39,E 51 ST
1,245,E 51 ST
1,335,E 51 ST
1,214,E 51 ST
1,5,E 51 ST
1,420,E 51 ST
1,230,E 51 ST
1,346,E 51 ST
1,41,E 51 ST
1,246,E 51 ST
1,16,E 51 ST
1,211,E 51 ST
1,229,E 51 ST
1,404,E 51 ST
1,350,E 51 ST
1,343,E 51 ST
1,228,E 51 ST
1,413,E 51 ST
1,312,E 51 ST
1,243,E 51 ST
1,231,E 51 ST
1,417,E 51 ST
1,347,E 51 ST
1,303,E 51 ST
1,435,E 51 ST
1,502,W 169 ST
1,560,W 169 ST
1,511,W 169 ST
1,618,W 169 ST
1,651,W 169 ST
1,509,W 169 ST
1,6,ST NICHOLAS TERRACE
1,35,ST NICHOLAS TERRACE
1,85,ST NICHOLAS TERRACE
1,25,ST NICHOLAS TERRACE
1,8,ST NICHOLAS TERRACE
1,49,ST NICHOLAS TERRACE
1,360,ST NICHOLAS TERRACE
1,70,LITTLE W ST
1,26,W 1 AV ST
1,56,W 1 AV ST
1,290,W 1 AV ST
1,155,W 1 AV ST
1,42,W 1 AV ST
1,274,W 1 AV ST
