building,counts
78 FRONT STREET,13
17 STATE STREET,13
206 WEST 36 STREET,13
305 WEST 46 STREET,13
181 CONVENT AVENUE,13
1 E 45 ST,13
205 EAST 42 STREET,13
360 PARK AVENUE SOUTH,13
90 BROAD STREET,13
149 EAST 44 STREET,13
123 WILLIAM STREET,13
160 WATER STREET,12
139 WEST STREET,12
128 PEARL STREET,12
222 E 64 ST,12
1930 BROADWAY,12
155 EAST 44 STREET,12
160 CENTRAL PARK SOUT,12
250 WEST 90 STREET,12
800 3 AVENUE,12
1 7 AVENUE,12
371 7 AVE,12
321 WEST STREET,12
383 HUDSON ST,12
350 WEST 42 STREET,12
25 CENTRAL PARK WEST,12
442 5TH AVE,12
48 WALL STREET,12
109 5TH AVE,12
915 BROADWAY,12
500 EAST 77 ST,12
485 LEXINGTON AVENUE,12
253 W 72ND ST,12
15 STUYVESANT OVAL,12
144 WEST 54 STREET,12
461 8 AVENUE,12
784          COLUMBUS AVENUE,12
440 WEST 42 STREET,12
46 WEST 34 ST,12
1 PENN PLAZA,12
341 PARK AVE,12
33 EAST 17TH ST,12
60 CENTRE STREET,12
378 PARK AVE,12
1715 BROADWAY,12
569 LEXINGTON AVE,11
29 BROADWAY,11
521 7TH AVE,11
247 W 37TH ST,11
24 WEST 63 STREET,11
1 W 14TH ST,11
606 5TH AVE,11
263 7 AVENUE,11
292 MADISON AVE,11
1424 BROADWAY,11
979 3 AVENUE,11
505 5TH AVE,11
309 EAST 48 ST,11
705 5 AV,11
50 LAFAYETTE STREET,11
871 SEVENTH AVE,11
2 WALL STREET,11
45 E 17TH ST,11
540 PARK AVE,11
4 HANOVER SQUARE,11
881 7 AVENUE,11
82 RUTGERS SLIP,11
97 PARK AVE,11
5008         BROADWAY,11
397 WATER STREET,11
225 BWAY,11
114 WALL STREET,11
27 PEARL STREET,11
129 WASHINGTON STREET,11
53           WEST 35 STREET,11
200 PARK AVE,11
273 MADISON AVENUE,11
1275 BROADWAY,11
65 BROAD ST,11
2209 BWAY,11
46 BOWERY,11
2288 BWAY,11
129 W 27TH ST,11
567 WEST BROADWAY,11
30 RECTOR STREET,11
611 5 AVE,11
225 E 38TH ST,11
5 BWAY,11
101 EAST   76 STREET,11
161 WATER STREET,11
600 FIFTH AVE,11
78 BROAD ST,11
522 5 AVE,11
1 W 85TH ST,11
517 EAST 117 STREET,11
101 W 54 ST,11
267 WEST 47 STREET,11
1331 BWAY,11
235 EAST 22 STREET,11
1457 BWAY,11
151 W 26TH ST,10
27 PEARL ST,10
125 W 31 ST,10
24 UNION SQUARE EAST,10
443 GREENWICH ST,10
250 W 43RD ST,10
1404 BWAY,10
291 BROADWAY,10
121 EAST 67 STREET,10
570 7TH AVE,10
45           TUDOR CITY PLACE,10
115 E 57 ST,10
10 BARCLAY STREET,10
100 GOLD STREET,10
217 BROADWAY,10
760 THIRD AVENUE,10
103 JOHN STREET,10
79 MADISON AVE,10
450 WEST   33 STREET,10
1652 BROADWAY,10
200 CENTRAL PK SO,10
47 CHURCH STREET,10
436          WEST 49 STREET,10
117          WEST 79 STREET,10
447 EAST 14 STREET,10
650 5TH AVE,10
379 MADISON AVE,10
520 12TH AVE,10
301 7TH AVE,10
1332 BROADWAY,10
420          WEST 51 STREET,10
375 PEARL STREET,10
530 GRAND STREET,10
175 DELANCEY STREET,10
222 EAST 67 STREET,10
31 E 53RD ST,10
88 TRINITY PLACE,10
4 E 57 ST,10
811 10 AVENUE,10
421          HUDSON STREET,10
1270 BROADWAY,10
20 EAST 16 STREET,10
469 WEST ST,10
50 BROADWAY,10
60 WEST 23 ST,10
330 W 34TH ST,10
1855 BROADWAY,10
760 THIRD AVE,10
19 E 45TH ST,10
69 WEST 3 STREET,10
520 MADISON AVENUE,10
145 E 57TH ST,10
577          9 AVENUE,10
56 LEONARD STREET,10
979 THIRD AV,10
44 WALL STREET,10
1960 BROADWAY,10
1045 SIXTH AVENUE,10
119          CHRISTOPHER STREET,10
44 EAST 14 STREET,10
55 BROADWAY,10
715 12 AVENUE,10
674 MADISON AVE,10
563 FIFTH AVE,10
2 W 55TH ST,10
210 EAST 39 STREET,10
520 LENOX AV,10
600 WASHINGTON STREET,10
55 BROAD STREET,10
1 PARK ROW,10
780 THIRD AVENUE,10
1031 6 AVENUE,10
240 W 98 ST,10
647 3 AVENUE,10
647 EAST 14 STREET,10
362 9 AVENUE,10
65 E 55 ST,10
415 PARK AVENUE SOUTH,10
1165 1 AVE,10
250 MADISON AVE,10
33 THOMAS STREET,10
4 HANOVER SQ.,10
53 E 25TH ST,10
150 CENTRAL PK SO,9
243 LEXINGTON AVENUE,9
101          MURRAY STREET,9
442 EAST 20 STREET,9
469 7TH AVE,9
1752 BWAY,9
4 E 52ND ST,9
13 W 37 ST,9
772 BROADWAY,9
100 WILLIAM STREET,9
1601 BROADWAY,9
1115 BROADWAY,9
203 WEST 34 ST,9
4 SOUTH STREET,9
396 BWAY,9
105 MADISON AVE,9
340 EAST 24 STREET,9
1368 AVE OF AMERICAS,9
455 FIRST AVE,9
79 5TH AVE,9
139 E 42 ST,9
141 EAST 25 STREET,9
10 WEST 57 STREET,9
611 FIRST AVE,9
529 BWAY,9
523 LEXINGTON AVENUE,9
240 W 40TH ST,9
735 LEXINGTON AVENUE,9
401 EAST 34 STREET,9
622 EAST 20 STREET,9
1175 THIRD AV,9
29 3 AVENUE,9
26 E 63 ST,9
16 W 39TH ST,9
1001 AVE OF THE AMER,9
1987         3 AVENUE,9
129 WEST 52 STREET,9
404 EAST 79 ST,9
1 UNITED NATIONS PLAZA,9
509 8 AVENUE,9
180 RIVERSIDE BOULEVARD,9
203 WEST 24 STREET,9
578 6 AVENUE,9
222 EAST 41 STREET,9
348 MADISON AVE,9
101 WATER STREET,9
9 DEY ST,9
491 7TH AVE,9
133 WEST 22 STREET,9
2222 BWAY,9
563 11TH AVE,9
101 WEST 79TH ST,9
430 FIRST AV,9
462 FIRST AVENUE,9
645 MADISON AVE,9
170 EAST END AV,9
269 MADISON AVENUE,9
140 4 AVENUE,9
400 5TH AVE,9
250 WEST STREET,9
463 5 AVENUE,9
950 3 AVENUE,9
415 MADISON AVE,9
415 FIFTH AVE,9
120 EAST END AV,9
635 6 AVENUE,9
26 SPRUCE STREET,9
17 WEST END AVENUE,9
446 LEXINGTON AVENUE,9
60 LAFAYETTE STREET,9
51 WEST 52ND ST,9
75 3 AVENUE,9
57 WATTS STREET,9
11 MADISON AVE,9
759 BROADWAY,9
102 NORTH END AVENUE,9
156 WILLIAM STREET,9
26 PINE STREET,9
61 E 45 ST,9
1519 AMSTERDAM AVE,9
135 WEST 33 STREET,8
135 EAST 49 STREET,8
10 E 39TH ST,8
95 CHURCH ST,8
280 BROADWAY,8
2 5 AVENUE,8
113 MAIDEN LANE,8
423 WEST 55 STREET,8
101 PARK AVE,8
15 EAST 26TH ST,8
251 WEST 39TH ST,8
269 GREENWICH STREET,8
448 WEST 17 STREET,8
26           VANDAM STREET,8
85 ST NICHOLAS TERRACE,8
2 RIVER TERRACE,8
1280 LEXINGTON AVE,8
550 MADISON AV,8
125 JOHN STREET,8
413 GRAND STREET,8
622 BROADWAY,8
720 LENOX AVE,8
214 EAST 42 STREET,8
61 W 54TH ST,8
45 TUDOR CITY PLACE,8
28 E 52ND ST,8
200 EAST 65 STREET,8
194          ORCHARD STREET,8
160 BROADWAY,8
1 BROADWAY,8
1195 BROADWAY,8
809 BROADWAY,8
203 EAST 92 STREET,8
335          EAST 9 STREET,8
66 3 AVENUE,8
228 EAST 57 STREET,8
