boro,door_number,street_address
1,510,W 165 ST
1,217,W 21 ST
1,133,W 21 ST
1,419,W 21 ST
1,261,W 21 ST
1,155,W 21 ST
1,223,W 21 ST
1,541,W 21 ST
1,132,W 21 ST
1,30,W 21 ST
1,510,W 21 ST
1,501,W 21 ST
1,57,W 21 ST
1,303,W 21 ST
1,421,W 21 ST
1,233,W 21 ST
1,120,W 21 ST
1,511,W 21 ST
1,7,W 21 ST
1,224,W 21 ST
1,153,W 21 ST
1,16,W 21 ST
1,162,W 21 ST
1,350,W 21 ST
1,530,W 21 ST
1,360,W 21 ST
1,210,W 21 ST
1,469,W 21 ST
1,537,W 21 ST
1,4,W 21 ST
1,150,W 21 ST
1,117,W 21 ST
1,429,W 21 ST
1,35,W 21 ST
1,231,W 21 ST
1,221,W 21 ST
1,117,W 21 ST
1,218,W 21 ST
1,136,W 21 ST
1,204,W 21 ST
1,119,W 21 ST
1,400,W 220 ST
1,419,W 12 AV ST
1,40,W 12 AV ST
1,28,W 12 AV ST
1,523,W 12 AV ST
1,417,W 12 AV ST
1,65,W 12 AV ST
1,135,W 12 AV ST
1,42,W 12 AV ST
1,1,W 12 AV ST
1,271,W 12 AV ST
1,201,W 12 AV ST
1,15,W 12 AV ST
1,100,W 12 AV ST
1,510,W 12 AV ST
1,351,W 12 AV ST
1,256,W 12 AV ST
1,651,W 169 ST
1,560,W 169 ST
1,516,W 169 ST
1,516,W 169 ST
1,85,ST NICHOLAS TERRACE
1,360,ST NICHOLAS TERRACE
1,70,LITTLE W ST
1,60,W 1 AV ST
1,45,W 1 AV ST
1,290,W 1 AV ST
1,42,W 1 AV ST
1,47,W 1 AV ST
1,30,W 1 AV ST
1,49,W 1 AV ST
1,169,W 1 AV ST
1,15,W 1 AV ST
1,230,W 1 AV ST
1,130,W 1 AV ST
1,24,W 1 AV ST
1,408,W 1 AV ST
1,16,W 1 AV ST
1,38,W 1 AV ST
1,6,W 1 AV ST
1,296,W 1 AV ST
1,33,W 1 AV ST
1,29,W 1 AV ST
1,124,W 1 AV ST
1,58,W 1 AV ST
1,36,W 1 AV ST
1,147,W 1 AV ST
1,20,W 1 AV ST
1,268,W 1 AV ST
1,34,W 1 AV ST
1,154,W 1 AV ST
1,201,W 1 AV ST
1,14,W 1 AV ST
1,8,W 1 AV ST
1,37,W 1 AV ST
1,22,W 1 AV ST
1,21,W 1 AV ST
1,447,W 1 AV ST
1,344,W 1 AV ST
1,9,W 1 AV ST
1,35,W 1 AV ST
1,11,W 1 AV ST
1,18,W 1 AV ST
1,43,W 1 AV ST
1,55,W 1 AV ST
1,3,W 1 AV ST
1,205,W 1 AV ST
1,114,W 1 AV ST
1,1,W 1 AV ST
1,10,W 1 AV ST
1,116,W 1 AV ST
1,328,W 1 AV ST
1,6,E 39 ST
1,149,E 39 ST
1,137,E 39 ST
1,27,E 39 ST
1,124,E 39 ST
1,28,E 39 ST
1,210,E 39 ST
1,250,E 39 ST
1,301,E 39 ST
1,240,E 39 ST
1,330,E 39 ST
1,243,E 39 ST
1,30,E 39 ST
1,24,E 39 ST
1,32,E 39 ST
1,300,E 39 ST
