building,counts
21-05 33 ST,6
167-01 GOTHIC DR,6
25-26 BRDWAY,6
43-31 45 ST,6
25352 149 RD,6
127-10 28 AV,6
37-06 NORTHERN BLVD,6
22-22 JACKSON AV,6
86-01 23 AV,6
61-11 188 ST,6
108-25 HORACE HARDING EXPRESSWAY,6
222-01 56 AV,6
28-19 BRIDGE PLAZA N,6
161-19 JAMAICA AV,6
138-35 ELDER AV,6
56-20 59 ST,6
90-04 161 ST,6
135-11 40 RD,6
89-25 134 ST,6
160-05 HIGHLAND AV,6
103-11 98 ST,6
47-38 5 ST,6
89-52 135 ST,6
38-09 43 AV,6
211-35 23 AV,5
89-41 134 ST,5
136-33 37 AV,5
23-10 43 AV,5
137-39 45 AV,5
21-16 44 RD,5
25-01 JACKSON AV,5
35-11 FARRINGTON ST,5
80-06 47 AV,5
87-45 117 ST,5
42-31 UNION ST,5
22-30 COLLEGE POINT BLVD,5
22-11 NEW HAV AV,5
40-01 29 ST,5
26-23 21 ST,5
29-01 216 ST,5
42-40 BOWNE ST,5
250 BEACH 17 ST,5
41-60 BOWNE ST,5
162-17 JAMAICA AV,5
90-10 149 ST,5
143-30 ROOSEVELT AV,5
221-15 56 AV,5
132-35 41 RD,5
132-40 41 AV,5
11-07 WELLING COURT,5
103-24 123 ST,5
183-15 LONG ISLAND EXPRESSWAY,5
160-30 119 RD,5
90-02 QUEENS BLVD,5
92-10 182 PL,5
102-06 217 PL,5
182-30 WEXFORD TERR,5
82-35 134 ST,5
163-18 JAMAICA AV,5
136-30 MAPLE AV,5
83-57 118 ST,5
134-38 MAPLE AV,5
89-89 UNION TPKE,5
89-45 134 ST,5
89-48 135 ST,5
149-06 NORTHERN BLVD,5
23-15 30 AV,5
217-49 CORBETT RD,5
144-56 ROOSEVELT AV,5
93-11 101 AV,5
8-33 40 AV,5
65-50 KISSENA BLVD,5
74-30 COMMONWEALTH BLVD,5
79-25 150 ST,5
49-20 VAN DAM ST,5
31-51 31 ST,5
147-10 41 AV,5
74-02 COMMONWEALTH BLVD,5
23-16 31 AV,5
89-26 135 ST,5
133-06 111 AV,5
12-02 37 AV,5
64-09 39 AV,5
42-41 201 ST,5
132 BEACH 112 ST,5
88-24 MERRICK BLVD,5
249-16 GRAND CENTRAL PARKWAY,5
31-06 82 ST,5
74-20 COMMONWEALTH BLVD,5
133-12 78 ST,5
146-16 35 AV,5
39-16 PRINCE ST,5
89-38 135 ST,5
90-34 171 ST,5
89-22 135 ST,5
35-32 159 ST,5
41-30 UNION ST,5
43-02 DITMARS BLVD,5
5-19 BORDEN AV,5
83-28 DANIELS ST,5
167-02 45 AV,5
69-11 YELLOWSTONE BLVD,5
125-10 23 AV,5
67-19 ROOSEVELT AV,5
156-10 BAISLEY BLVD,5
176-60 UNION TURNPIKE,5
35-01 147 ST,5
26-45 9 ST,5
160-16 JAMAICA AV,5
149-11 MELBOURNE AV,5
80-15 GRENFELL ST,5
10-10 44 AV,5
152-72 MELBOURNE AV,5
46-01 67 ST,5
153-70 SOUTH CONDUIT AV,5
89-30 114 ST,5
32-41 100 ST,5
89-11 153 ST,5
109-30 OCEAN PROMENADE,5
89-10 WHITNEY AV,5
19-73 38 ST,5
120 BEACH 26 ST,5
71-49 METROPOLITAN AV,5
14-27 BRDWAY,5
25-47 75 ST,5
58-25 QUEENS BLVD,5
82-50 164 ST,5
88-12 151 AV,5
36-01 37 AV,5
141-72 85 RD,5
42-31 COLDEN ST,5
88-05 MERRICK BLVD,5
140-11 ASH AV,5
138-10 135 AV,5
22-15 I 678,5
30-02 39 AV,5
154 BEACH 114 ST,5
34-57 73 ST,5
112-16 75 AV,5
32-63 93 ST,5
25-70 WHITESTONE EXPRESSWAY,5
20-09 127 ST,5
37-02 NORTHERN BLVD,5
102-01 JAMAICA AV,5
149-35 NORTHERN BLVD,5
89-22 165 ST,5
30-01 REVIEW AV,5
148-25 89 AV,5
21-38 31 ST,5
170-06 88 AV,5
110-11 QUEENS BLVD,5
33-37 FARRINGTON ST,5
90-11 175 ST,5
171-24 140 AV,5
61-15 OCEANIA ST,5
219-34 JAMAICA AV,4
87-28 58 AV,4
36-38 MAIN ST,4
86-02 FOREST PKWY,4
39-06 108 ST,4
142-32 38 AV,4
143-25 41 AV,4
108-07 65 RD,4
71-01 KISSENA BLVD,4
79-00 QUEENS BLVD,4
83-44 LEFFERTS BLVD,4
43-32 KISSENA BLVD,4
144-31 41 AV,4
104-40 QUEENS BLVD,4
52-29 34 ST,4
124-06 14 AV,4
69-14 61 DRIVE,4
83-55 WOODHAV BLVD,4
63-11 QUEENS BLVD,4
